Category,Material,Price,Unit,Date_Scraped
Normal Recyclables,Normal Recyclables,RS 40/KG,KG,2026-02-21 08:59:42
Normal Recyclables,Newspaper,RS 50/KG,KG,2026-02-21 08:59:42
Normal Recyclables,Copies/Books Market,RS 30/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Cardboard,RS 60/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Office Paper (A3/A4),RS 70/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Plastic,RS 100/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Iron,RS 200/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Steel,RS 225/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Aluminium,RS 1000/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Brass,RS 1650/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Copper,RS 80/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Large Appliances,RS 250/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Split AC Copper Coil (Indoor + Outdoor),RS 270/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Window AC 1.5 Ton (Copper Coil),RS 250/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,AC 1 Ton (Copper Coil),RS 270/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Double Door Fridge,RS 80/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Iron Cooler (Lahori),RS 70/KG,KG,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Plastic cooler,RS 1500/Piece,Piece,2026-02-21 08:59:42
**To Get Quote for Bulk QTY Call at 0300 1689572**,Small Appliances,RS 65/KG,KG,2026-02-21 08:59:42
Heavy e-waste (Content: Metal > plastic),Heavy e-waste (Content: Metal > plastic),RS 45/KG,KG,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Light e-waste (Content: Plastic > Metal),RS 500/Piece,Piece,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Printer/scanner/fax machine,RS 500/Piece,Piece,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),CRT TV,RS 50/KG,KG,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Ceiling Fan,RS 220/KG,KG,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Ceiling Fan,Motors (Copper wiring),Unknown,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Ceiling Fan,RS 1500/Piece,Piece,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Microwave,RS 1000/Piece,Piece,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),UPS,RS 150/KG,KG,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Depend on condition,Battery(used with inverters),Unknown,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Depend on condition,Mobiles & Computers,Unknown,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Scrap Laptop,RS 500/Piece,Piece,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),CRT Monitor,RS 300/Piece,Piece,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),LCD Monitor,RS 400/Piece,Piece,2026-02-21 08:59:42
Light e-waste (Content: Plastic > Metal),Computer CPU,Others,Unknown,2026-02-21 08:59:42
